Neighborhood,Total_Population,Group_Quarter_Population,Female_Population,pct_Population_with_Disability,Housholds,Family_Households,Non_Family_Households,Single_Person_Households,Households_with_Children,Households_with_60_years_and_older,Single_Senior_65_Households,Average_Household_Size,Asian,Black_African_American,White,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,pct_Latino_of_Any_Race,pct_0_4_Years,pct_5_17_Years,pct_18_34_Years,pct_35_64_Years,pct_65_Years_and_older,Less_than_high_school_degree,High_school_degree_or_equivalent,Some_college_or_Associates_degree,Bachelors_degree_or_higher,Foreign_Born,Naturalized_citizens,English_Only,Spanish,Spanish_limited,French_Haitian_Cajun,French_Haitian_Cajun_limited,German_Germanic,German_Germanic_limited,Russian_Polish_Slavic,Per_Capita_Income,Percent_in_Poverty,Household_Income_less_than_25K,Household_Income_25K_50K,Household_Income_50K_75K,Household_Income_75K_100K,Household_Income_100K_125K,Household_Income_more_than_125K,Labor_Force_Participation_Rate,Unemployment_Rate,Managerial_Professional,Services,Sales_and_Office,Natural_Resources,Production_Transport_Materials,Workers_16_Years_and_Older,Car,Drove_Alone,Carpooled,Transit,Bike,Walk,Other_Journey_Type,Worked_at_Home
Bayview Hunters Point,38480,218,19453,0.110507152,11824,0.693843031,0.306156969,0.223190122,0.351573072,0.463379567,0.087533829,3.235960758,0.392697505,0.261434511,0.132120582,0.00231289,0.015566528,0.232276507,0.060343035,0.150883576,0.245114345,0.393581081,0.150077963,0.246110428,0.220746798,0.25909979,0.274042984,0.412837838,0.263799376,0.441783284,0.190995077,0.094584877,0.003650644,0.000359533,0.002240168,0.00038719,0.001880635,31164.96362,0.15581638,0.232916103,0.16381935,0.142168471,0.086688092,0.07332544,0.301082544,0.641431477,0.052949402,0.327044705,0.278879939,0.204389426,0.075895994,0.113789935,17983,0.583106267,0.445365067,0.1377412,0.287493744,0.010231886,0.034532614,0.033253628,0.051381861
Bernal Heights,26149,178,12330,0.080012262,9190,0.601741023,0.398258977,0.224700762,0.302611534,0.318715996,0.052013058,2.826006529,0.179089067,0.034532869,0.505564266,0.007992657,0.000573636,0.30720104,0.072966461,0.111897204,0.221040958,0.472981758,0.121113618,0.100934579,0.142252828,0.194638465,0.562174127,0.27362423,0.154116792,0.599397715,0.247019512,0.077059527,0.017119756,0.002103874,0.003588961,0.000577534,0.003506456,70729.27837,0.065295926,0.104243743,0.068117519,0.096300326,0.097279652,0.06648531,0.567573449,0.717900441,0.022501837,0.60932444,0.142772238,0.144753351,0.063065443,0.040084528,14818,0.45734917,0.3837225,0.07362667,0.248144149,0.070049939,0.040896207,0.035632339,0.147928195
Castro/Upper Market,23138,72,8550,0.09716143,11491,0.331911931,0.668088069,0.403359151,0.122617701,0.258289096,0.083804717,2.007310069,0.121056271,0.0287406,0.748552165,0.002290604,0.004883741,0.081986343,0.031463394,0.068415593,0.288011064,0.499611029,0.11249892,0.019563468,0.051297526,0.145443573,0.783695434,0.180655199,0.106275391,0.814948684,0.046943329,0.004194556,0.022311468,0.00075859,0.007184293,0.000535475,0.006782686,106927.3922,0.067531228,0.09816378,0.062483683,0.070663998,0.079192411,0.067183013,0.622313115,0.804854921,0.031433719,0.746133071,0.079179966,0.140130125,0.011293887,0.023262951,15877,0.251306922,0.210430182,0.04087674,0.428670404,0.049757511,0.063991938,0.044403855,0.161869371
Chinatown,14310,55,7414,0.162124389,6751,0.522885498,0.477114502,0.420085913,0.145756184,0.587024145,0.242482595,2.111539031,0.841719078,0.00118798,0.109853249,0.007966457,0.002236198,0.035429769,0.026345213,0.074004193,0.220684836,0.399930119,0.279035639,0.474080821,0.207353428,0.111543557,0.207022193,0.739832285,0.409783368,0.196368334,0.024043637,0.014426182,0.002224934,0,0,0,0.002153162,30912.81621,0.258742729,0.468226929,0.207228559,0.098948304,0.05850985,0.044585987,0.12250037,0.568265119,0.033903482,0.293512432,0.398399543,0.173335239,0.045584453,0.089168334,6578,0.146853147,0.118881119,0.027972028,0.315293402,0.00881727,0.451352995,0.015962299,0.061720888
Excelsior,40980,547,20632,0.098616216,11306,0.740049531,0.259950469,0.167698567,0.311339112,0.540332567,0.068459225,3.576242703,0.511517814,0.019521718,0.219765739,0.004563202,0.00158614,0.31420205,0.037359688,0.127232796,0.230307467,0.417789165,0.187310883,0.233520292,0.196968742,0.278453491,0.291057474,0.490751586,0.357467057,0.329894294,0.240842607,0.095541078,0.002585617,0,0.002205379,0.000583031,0.004613552,32690.73206,0.096654829,0.11401026,0.139129666,0.157703874,0.116044578,0.106934371,0.366177251,0.655097738,0.034678293,0.354062371,0.274330593,0.20773435,0.064575392,0.099297295,21121,0.550873538,0.428767577,0.122105961,0.345911652,0.006012973,0.015860991,0.017044648,0.064296198
Financial District/South Beach,22963,581,10358,0.057091843,11967,0.394167293,0.605832707,0.415810145,0.087323473,0.171722236,0.052728336,1.870310019,0.433523494,0.022906415,0.468928276,0,0.004833863,0.056482167,0.048512825,0.023254801,0.4502025,0.377215521,0.100814354,0.03087603,0.052116251,0.100709734,0.816297985,0.396202587,0.136393328,0.561947915,0.044029475,0.017483638,0.014325598,0.001647673,0.027690054,0,0.014325598,141841.2533,0.098870181,0.065597059,0.068605331,0.049135122,0.060165455,0.058076377,0.698420657,0.791109031,0.031960693,0.805029896,0.061394317,0.106083955,0.007890033,0.0196018,15553,0.15302514,0.143252106,0.009773034,0.221822156,0.019546068,0.397608178,0.022696586,0.185301871
Glen Park,8654,38,4434,0.064504922,3595,0.555771905,0.444228095,0.302364395,0.242837274,0.386091794,0.15132128,2.396662031,0.146984054,0.065287728,0.625259995,0.002195517,0,0.126299977,0.065634389,0.130459903,0.19932979,0.434250058,0.170325861,0.030757098,0.056940063,0.139747634,0.772555205,0.194476543,0.107118096,0.749814494,0.089537472,0.011254019,0.012243384,0,0.003586446,0,0.015087806,85575.02889,0.058354518,0.079276773,0.117385257,0.05674548,0.069541029,0.058692629,0.618358832,0.742428531,0.027030852,0.765488483,0.083598094,0.087370929,0.021445592,0.042096902,4949,0.445140432,0.390381895,0.054758537,0.273792685,0.02768236,0.016973126,0.027278238,0.209133158
Golden Gate Park,32,0,8,0,25,0.12,0.88,0.72,0,0,0,1.28,0.15625,0,0.6875,0,0,0.15625,0,0,0.25,0.75,0,0,0,0,1,0.3125,0.15625,0.6875,0.15625,0,0,0,0,0,0,91684.375,0,0,0,0,0.56,0,0.44,1,0.0625,0.4,0.133333333,0,0.466666667,0,30,0.7,0.7,0,0.133333333,0,0.166666667,0,0
Haight Ashbury,19181,320,8829,0.049754876,8219,0.383623312,0.616376688,0.296264752,0.15525003,0.206351138,0.084681835,2.294804721,0.119597518,0.046139409,0.75230697,0.00020854,0,0.071894062,0.0491111,0.068140347,0.427558521,0.36593504,0.089254992,0.02345186,0.045002218,0.134753122,0.7967928,0.150304989,0.070382149,0.836778332,0.029716541,0.007237239,0.037063435,0.000438621,0.010636548,0.000986896,0.007182411,92569.32381,0.065903335,0.066188101,0.057427911,0.080545078,0.069351503,0.081031756,0.645455652,0.839133752,0.023710312,0.690945732,0.07067799,0.19296099,0.020656398,0.024758889,13682,0.220508698,0.191857916,0.028650782,0.419602397,0.073307996,0.064902792,0.057667008,0.164011109
Hayes Valley,19818,524,8774,0.102752294,9577,0.309804741,0.690195259,0.410462567,0.091364728,0.18325154,0.067766524,2.014618356,0.174033707,0.072308003,0.611666162,0.0024725,0.000908265,0.126097487,0.047381169,0.025683722,0.432334242,0.418003835,0.076597033,0.047554667,0.093933694,0.144133553,0.714378086,0.204208295,0.101574326,0.779808253,0.082048837,0.022193972,0.009746279,0.00047672,0.00725674,0,0.007839398,90735.55858,0.08614692,0.107967004,0.092304479,0.0527305,0.100448992,0.091886812,0.554662212,0.81826087,0.024728261,0.700499966,0.106020136,0.145469488,0.008355592,0.039654818,14146,0.230595221,0.179838824,0.050756398,0.381733352,0.081082992,0.143432773,0.035769829,0.127385833
Inner Richmond,22753,161,12463,0.093933119,8897,0.509047994,0.490952006,0.273912555,0.247948747,0.351803979,0.105428796,2.539282904,0.392607568,0.01951391,0.499846174,0.001582209,0.002505164,0.079418099,0.059464686,0.103239133,0.313936624,0.382586912,0.140772645,0.091859431,0.056272242,0.172931495,0.678936833,0.298378236,0.194172197,0.607663551,0.047616822,0.011635514,0.007523364,0.001401869,0.002383178,0.00046729,0.015700935,76093.6404,0.056280118,0.092840283,0.079240193,0.091266719,0.107676745,0.081488142,0.547487917,0.748725344,0.024360097,0.627586207,0.126341984,0.175684323,0.018698898,0.051688589,13834,0.421714616,0.350296371,0.071418245,0.310250108,0.047563973,0.046479688,0.026022842,0.147968773
Inner Sunset,28551,952,15008,0.062675463,12081,0.468669812,0.531330188,0.358827912,0.192450956,0.321579339,0.104709875,2.284496317,0.341529193,0.023326679,0.51388743,0.0002802,0.001506077,0.100696998,0.05313299,0.079121572,0.350565654,0.362439144,0.15474064,0.059910633,0.059997397,0.113530866,0.766561104,0.284088123,0.189205282,0.630946216,0.061700081,0.014167345,0.011023156,0,0.005548568,0.00162758,0.027779833,75451.33621,0.091115598,0.09742571,0.077973678,0.090638192,0.11613277,0.083519576,0.534310074,0.714565905,0.023495977,0.74914567,0.104662612,0.105010136,0.010657399,0.030524182,16816,0.409669363,0.332540438,0.077128925,0.321955281,0.037523787,0.098239772,0.03009039,0.102521408
Japantown,3624,50,2011,0.254956716,2312,0.207179931,0.792820069,0.637110727,0.03416955,0.560121107,0.436851211,1.545847751,0.332229581,0.009933775,0.476545254,0.002207506,0.006346578,0.129139073,0.017108168,0.014348786,0.311810155,0.258278146,0.398454746,0.047444138,0.174165901,0.180593817,0.597796143,0.352924945,0.269315673,0.617069062,0.07046603,0,0.001122965,0.000842223,0.003930376,0.003088153,0.016844469,77498.95143,0.111979894,0.327422145,0.084342561,0.054065744,0.074394464,0.050605536,0.40916955,0.595123334,0.020697477,0.774925962,0.02171767,0.103158934,0.035538006,0.064659427,2026,0.29911155,0.275419546,0.023692004,0.360315893,0.025666338,0.085883514,0.060217177,0.168805528
Lakeshore,14368,2673,7591,0.106695434,4913,0.438428659,0.561571341,0.368817423,0.139426013,0.387339711,0.134337472,2.380419296,0.300876949,0.084214922,0.389615813,0.002714365,0,0.249791203,0.016077394,0.051642539,0.530832405,0.269000557,0.132447105,0.062531017,0.124689826,0.278287841,0.534491315,0.378549555,0.20392539,0.488080922,0.163613214,0.038551319,0.005022282,7.07E-05,0.004810073,0.001697673,0.082761548,33529.25251,0.225393028,0.229798494,0.202116833,0.137390596,0.08772644,0.096071647,0.24689599,0.645052693,0.0908226,0.423346098,0.214974251,0.259210353,0.013600951,0.088868348,7413,0.489005801,0.390260353,0.098745447,0.29852961,0.00512613,0.128827735,0.019964926,0.058545798
Lincoln Park,185,185,0,0,0,0,0,0,0,0,0,0,0.259459459,0.167567568,0.47027027,0,0,0.102702703,0,0,0,0.216216216,0.783783784,0.237837838,0.189189189,0.124324324,0.448648649,0.394594595,0.362162162,0.605405405,0.102702703,0,0,0,0,0,0.054054054,-3603603.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lone Mountain/USF,17350,2946,9339,0.068205728,6298,0.417434106,0.582565894,0.325182598,0.141473484,0.313432836,0.117815179,2.287075262,0.213544669,0.044034582,0.577291066,0.012507205,0,0.11815562,0.040576369,0.054409222,0.494870317,0.29221902,0.117925072,0.079287129,0.044752475,0.114851485,0.761108911,0.219942363,0.1270317,0.696263367,0.058933077,0.020245104,0.027694341,0.003664544,0.006848492,0.00054067,0.017361528,64056.02882,0.100982052,0.127977136,0.065576373,0.092410289,0.081136869,0.09542712,0.537472213,0.68636791,0.033719837,0.647748007,0.124939979,0.193412081,0.005473927,0.028426006,10225,0.305427873,0.265232274,0.040195599,0.336136919,0.061809291,0.107677262,0.060929095,0.12801956
Marina,25186,98,13186,0.05494112,12832,0.326839152,0.673160848,0.450124688,0.138793641,0.226698878,0.103880923,1.955112219,0.102199635,0.007027714,0.806757723,0.002223457,0.003533709,0.071150639,0.071706504,0.051854205,0.425077424,0.338044946,0.113316922,0.024110385,0.032679739,0.087145969,0.856063907,0.150281903,0.073135869,0.846621044,0.03635586,0.012617622,0.007313944,0,0.009153122,0.000727117,0.012360992,123618.6453,0.04391663,0.063980673,0.060162095,0.05790212,0.06678616,0.078631546,0.672537406,0.824437761,0.022310006,0.708132631,0.028621037,0.24817968,0.005937045,0.009129607,17570,0.363574274,0.288161639,0.075412635,0.3116107,0.033124644,0.073705179,0.078770632,0.13921457
McLaren Park,153,0,123,0.529411765,122,0.245901639,0.754098361,0.754098361,0,1,0.754098361,1.254098361,1,0,0,0,0,0,0,0,0,0.078431373,0.921568627,0.830065359,0.169934641,0,0,1,0.91503268,0,0,0,0,0,0,0,0,9921.568627,0.758169935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission,58424,1588,26283,0.108018624,23217,0.39854417,0.60145583,0.341603136,0.175431796,0.246586553,0.070594823,2.448033768,0.145265644,0.04751472,0.508318499,0.016979324,0.001660277,0.343026838,0.041455566,0.080583322,0.335529919,0.435574421,0.106856771,0.123031537,0.102318527,0.169194332,0.605455603,0.301622621,0.138145283,0.594978751,0.274293775,0.122299204,0.010196064,0.000660691,0.007446163,0.000321417,0.007803293,66629.67787,0.117513071,0.138992979,0.098936124,0.095921092,0.078046259,0.082698023,0.505405522,0.79269447,0.040796616,0.601613483,0.158522173,0.156775089,0.02792765,0.055161605,38235,0.23870799,0.194167647,0.044540343,0.399712305,0.091408395,0.115391657,0.03528181,0.119497842
Mission Bay,13330,321,6755,0.078244561,6065,0.508656224,0.491343776,0.333553174,0.204946414,0.153338829,0.072712284,2.144929926,0.38312078,0.047936984,0.46264066,0.006901725,0.009902476,0.107726932,0.07471868,0.076819205,0.388072018,0.377194299,0.083195799,0.065599074,0.094443373,0.133224002,0.706733552,0.363540885,0.217854464,0.552456624,0.090319442,0.023917626,0.011512891,0,0.004134912,0,0.014269499,93788.0195,0.077561688,0.123495466,0.088375927,0.052431987,0.047320692,0.043858203,0.644517725,0.779848171,0.015355418,0.744188671,0.057774769,0.149740465,0.005303543,0.042992552,8599,0.253285266,0.223746947,0.029538318,0.292708454,0.045005233,0.220025584,0.061635074,0.127340388
