Neighborhood,Total_Population,Group_Quarter_Population,Female_Population,pct_Population_with_Disability,Housholds,Family_Households,Non_Family_Households,Single_Person_Households,Households_with_Children,Households_with_60_years_and_older,Single_Senior_65_Households,Average_Household_Size,Asian,Black_African_American,White,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,pct_Latino_of_Any_Race,pct_0_4_Years,pct_5_17_Years,pct_18_34_Years,pct_35_64_Years,pct_65_Years_and_older,Less_than_high_school_degree,High_school_degree_or_equivalent,Some_college_or_Associates_degree,Bachelors_degree_or_higher,Foreign_Born,Naturalized_citizens,English_Only,Spanish,Spanish_limited,French_Haitian_Cajun,French_Haitian_Cajun_limited,German_Germanic,German_Germanic_limited,Russian_Polish_Slavic,Per_Capita_Income,Percent_in_Poverty,Household_Income_less_than_25K,Household_Income_25K_50K,Household_Income_50K_75K,Household_Income_75K_100K,Household_Income_100K_125K,Household_Income_more_than_125K,Labor_Force_Participation_Rate,Unemployment_Rate,Managerial_Professional,Services,Sales_and_Office,Natural_Resources,Production_Transport_Materials,Workers_16_Years_and_Older,Car,Drove_Alone,Carpooled,Transit,Bike,Walk,Other_Journey_Type,Worked_at_Home
Nob Hill,26247,891,12549,0.089381003,15225,0.254515599,0.745484401,0.551592775,0.052873563,0.27908046,0.123152709,1.665418719,0.312950051,0.040423667,0.539033032,0.002285976,0.001104888,0.103287995,0.022288262,0.025907723,0.403398484,0.396731055,0.151674477,0.099232624,0.081078711,0.167857926,0.651830739,0.302625062,0.175982017,0.677499805,0.044774375,0.01141766,0.019600966,0.00062349,0.002844673,0,0.013521939,78752.54696,0.100066842,0.146732348,0.116584565,0.153760263,0.099638752,0.076781609,0.406502463,0.768918273,0.041500717,0.658180026,0.110490583,0.169623303,0.020094174,0.041611914,17989,0.180665963,0.153760631,0.026905331,0.244038023,0.025737951,0.388793151,0.061759964,0.099004947
Noe Valley,22628,104,10428,0.070433745,10721,0.45844604,0.54155396,0.367689581,0.177222274,0.301277866,0.092715232,2.100923421,0.152510164,0.018119144,0.694493548,0.002430617,0.000883861,0.105400389,0.044767545,0.094307937,0.22671027,0.488333039,0.145881209,0.018064585,0.070339977,0.135564318,0.77603112,0.242708149,0.143804136,0.767198705,0.075503123,0.018274347,0.022114272,0.001619246,0.01198242,0.000508906,0.010455702,109888.9694,0.043241809,0.079190374,0.062307621,0.06650499,0.077884526,0.059882474,0.654230016,0.770274375,0.024349499,0.773328809,0.065897523,0.128537496,0.014862572,0.0173736,14205,0.352551918,0.312636396,0.039915523,0.35156635,0.049630412,0.0406195,0.049771207,0.155860612
North Beach,11934,17,5761,0.145215351,6308,0.37983513,0.62016487,0.476696259,0.146163602,0.389346861,0.146797717,1.889188332,0.374057315,0.035612536,0.479470421,0.000670354,0.002094855,0.10750796,0.034774594,0.085805262,0.294788001,0.409334674,0.175297469,0.151167513,0.098680203,0.154517766,0.595634518,0.357549858,0.223646724,0.5981422,0.050785658,0.016928553,0.011893394,0.002343953,0.006076916,0,0.009636253,68656.9633,0.128791688,0.214489537,0.168991756,0.105580216,0.07736208,0.101775523,0.331800888,0.697537223,0.047944564,0.622315122,0.141848061,0.181778867,0.012973908,0.041084042,6758,0.196803788,0.179786919,0.017016869,0.257176679,0.039952649,0.363865049,0.026931045,0.11527079
Oceanview/Merced/Ingleside,27335,307,13619,0.09803203,8126,0.627368939,0.372631061,0.245385183,0.269136106,0.522028058,0.097587989,3.326113709,0.560160966,0.096945308,0.169672581,0.003987562,0.000256082,0.163892446,0.040351198,0.117944028,0.248582404,0.425132614,0.167989757,0.190215302,0.194925029,0.247885429,0.366974241,0.481653558,0.335577099,0.363334858,0.134034767,0.061261055,0.002287283,0,0.000991156,0.00026685,0.00663312,36810.59082,0.089728019,0.115308885,0.128968742,0.131799163,0.134014275,0.112601526,0.377307408,0.677210366,0.028285908,0.39012926,0.260282021,0.217456587,0.039039039,0.093093093,15056,0.569407545,0.471373539,0.098034006,0.292375133,0.005977683,0.015010627,0.025571201,0.091657811
Outer Mission,24646,195,12236,0.094205547,6635,0.731273549,0.268726451,0.148455162,0.281688018,0.502336096,0.040693293,3.685154484,0.570680841,0.01618924,0.202142335,0.00178528,0.005842733,0.274608456,0.029051367,0.117869025,0.236387243,0.435729936,0.180962428,0.219739005,0.198212084,0.228935471,0.35311344,0.535178122,0.371216425,0.280484747,0.227329712,0.091600501,0.002841621,0,0.001587965,0,0.001504388,39639.21123,0.0904288,0.074001507,0.125998493,0.113639789,0.124943482,0.127807084,0.433609646,0.704064965,0.033509124,0.391982183,0.258351893,0.200445434,0.041341871,0.107878619,13988,0.506934515,0.413783243,0.093151273,0.368315699,0.013869031,0.008721762,0.031884472,0.070274521
Outer Richmond,45745,191,24160,0.110131677,18980,0.537881981,0.462118019,0.329873551,0.225026344,0.435036881,0.149367756,2.400105374,0.422537982,0.016176631,0.455568915,0.00139906,0.000393486,0.06851022,0.052967537,0.093146792,0.250213138,0.409006449,0.194666084,0.094795121,0.094261143,0.217919173,0.593024563,0.340080883,0.252158706,0.570795439,0.032477725,0.004916671,0.013064955,0.003023868,0.003070034,0.001038733,0.051498084,60482.93584,0.100523308,0.133877766,0.104847208,0.129978925,0.097576396,0.098472076,0.435247629,0.671340508,0.029028346,0.568000315,0.145914473,0.196624572,0.029308785,0.060151855,25156,0.465853077,0.381976467,0.08387661,0.314994435,0.022579106,0.037605343,0.030330736,0.128637303
Pacific Heights,23953,511,12078,0.082917548,12860,0.317418351,0.682581649,0.529548989,0.119362364,0.297045101,0.139735614,1.822861586,0.168037407,0.038784286,0.703502693,0.002880641,0,0.090385338,0.044002839,0.07310149,0.342545819,0.369724043,0.170625809,0.029503955,0.038509379,0.121399075,0.810587591,0.195591366,0.127207448,0.801781737,0.04467444,0.007118215,0.008166295,0.001091751,0.009607406,0,0.009607406,121758.5689,0.052512969,0.106765163,0.070684292,0.057698289,0.072628305,0.097822706,0.594401244,0.749200075,0.030444193,0.739830453,0.042189656,0.180390353,0.019320497,0.018269041,15025,0.333510815,0.273477537,0.060033278,0.295906822,0.020765391,0.120066556,0.093710483,0.136039933
Portola,16243,195,8101,0.091328981,4901,0.721485411,0.278514589,0.200979392,0.267700469,0.50805958,0.080391757,3.274433789,0.544357569,0.035276735,0.182847996,0.005171458,0.001662255,0.262205258,0.039463153,0.143815798,0.205380779,0.435880071,0.175460198,0.230297653,0.206662902,0.279099782,0.283939663,0.498676353,0.37320692,0.360594796,0.154916036,0.050121779,0.00249968,0,0.003717472,0.001153698,0.004230227,41454.3311,0.091297351,0.135890635,0.119975515,0.109365436,0.114058355,0.116302795,0.404407264,0.670591699,0.03046806,0.337433893,0.208208784,0.229822948,0.091285353,0.133249023,8396,0.634111482,0.51786565,0.116245831,0.289899952,0.004883278,0.019652215,0.013101477,0.038351596
Potrero Hill,14845,6,7084,0.056652071,6901,0.480799884,0.519200116,0.317345312,0.222141719,0.196493262,0.056368642,2.150268077,0.223374874,0.053755473,0.57009094,0,0,0.11249579,0.061569552,0.098753789,0.328528124,0.42303806,0.088110475,0.057602534,0.051933978,0.12204068,0.768422808,0.2034355,0.086897945,0.756729596,0.061517479,0.01859163,0.015863901,0.000502476,0.011198048,0.000430694,0.012274783,109447.255,0.09421755,0.100999855,0.079263875,0.039704391,0.062599623,0.060426025,0.657006231,0.784268775,0.02055336,0.777352241,0.074422938,0.116137046,0.018321085,0.013766691,9445,0.358496559,0.293700371,0.064796188,0.23906829,0.073478031,0.092853362,0.065431445,0.170672313
Presidio,4073,0,2208,0.026025043,1318,0.626707132,0.373292868,0.119878604,0.406676783,0.141881639,0.06676783,3.090288316,0.072673705,0.021360177,0.622145838,0.014240118,0,0.217039038,0.119813405,0.135772158,0.346427695,0.356985023,0.041001719,0.035805627,0.051516259,0.078187797,0.834490318,0.156150258,0.058924626,0.818967922,0.090376569,0.0027894,0.011715481,0.00223152,0.010041841,0,0.016178522,76105.59784,0.037809968,0.007587253,0.062974203,0.15629742,0.053869499,0.058421851,0.660849772,0.791481246,0.021296885,0.609987619,0.110606686,0.238134544,0.01898473,0.022286422,2334,0.446015424,0.346615253,0.099400171,0.208226221,0.050128535,0.062125107,0.078834619,0.154670094
Presidio Heights,10445,158,5384,0.075954235,5054,0.461812426,0.538187574,0.396121884,0.201424614,0.328254848,0.135536209,2.035417491,0.193681187,0.006797511,0.70234562,0,0.000478698,0.079559598,0.056486357,0.106079464,0.255050263,0.417041647,0.165342269,0.027940459,0.049414348,0.108223524,0.814421669,0.198085208,0.127237913,0.782749873,0.062912227,0.006392694,0.009538305,0.000507357,0.002333841,0,0.020700152,110307.8411,0.054898567,0.120696478,0.116739216,0.067075584,0.062524733,0.073011476,0.559952513,0.73216308,0.048357871,0.748261014,0.046372971,0.167605167,0.018549188,0.019211659,6004,0.413057961,0.278147901,0.13491006,0.314123917,0.026482345,0.044636909,0.043471019,0.158227848
Russian Hill,18237,5,9679,0.077315348,9601,0.371836267,0.628163733,0.406311843,0.074575565,0.347672117,0.14790126,1.898968857,0.251302298,0.015079235,0.674562702,0.000603169,0.00076767,0.056643088,0.021659264,0.027965126,0.426550419,0.336239513,0.187585677,0.067806022,0.074654492,0.108218164,0.749321323,0.254756813,0.150518177,0.729626723,0.026790719,0.007958749,0.027967717,0.007958749,0.007454321,0,0.008967605,105581.0934,0.06585513,0.109467764,0.095198417,0.081866472,0.066868035,0.086449328,0.560149984,0.76722554,0.01607717,0.638587372,0.090123834,0.246445498,0.002446109,0.022397187,12958,0.233909554,0.199645007,0.034264547,0.280058651,0.039280753,0.220867418,0.070458404,0.15542522
Seacliff,2416,0,1247,0.075745033,868,0.747695853,0.252304147,0.213133641,0.373271889,0.497695853,0.127880184,2.783410138,0.222268212,0.012003311,0.683774834,0,0,0.043460265,0.057533113,0.199089404,0.112168874,0.395281457,0.235927152,0.019675926,0.047453704,0.106481481,0.826388889,0.183360927,0.136175497,0.821256039,0.035133948,0.003952569,0.016688625,0.003952569,0,0,0,117776.5315,0.03352649,0.059907834,0.038018433,0.103686636,0.046082949,0.039170507,0.713133641,0.626187962,0.012143611,0.711951849,0.077386071,0.172828891,0.017196905,0.020636285,1106,0.587703436,0.513562387,0.074141049,0.080470163,0.025316456,0.037070524,0.03074141,0.238698011
South of Market,25132,1430,10478,0.161752283,12788,0.333593994,0.666406006,0.541288708,0.111745386,0.249139819,0.112996559,1.853456365,0.417953207,0.093267547,0.342790068,0.00425752,0.007281553,0.154384848,0.026738819,0.061952889,0.387752666,0.395591278,0.127964348,0.122337363,0.135482633,0.216129342,0.526050662,0.429134172,0.244071304,0.523834832,0.098119379,0.034464432,0.00519215,0.001921504,0.004374489,0,0.014472608,66008.01767,0.192157494,0.271973725,0.133249922,0.075774163,0.051532687,0.055442602,0.4120269,0.697966455,0.026722864,0.620926912,0.18207192,0.138906919,0.007204985,0.050889264,15221,0.138361474,0.116943696,0.021417778,0.255633664,0.048025754,0.372117469,0.042901255,0.142960384
Sunset/Parkside,81639,448,41600,0.092754122,27762,0.661047475,0.338952525,0.219112456,0.252179238,0.478639867,0.106872704,2.924537137,0.521135732,0.01659746,0.338857654,0.001114663,0.007361678,0.082656573,0.046203408,0.111245851,0.231066035,0.415009983,0.196474724,0.112915337,0.144859521,0.213112446,0.529112696,0.399184213,0.319540906,0.481975676,0.04320187,0.010556462,0.012059024,0.002748276,0.00218321,0.000333903,0.023231921,51566.96922,0.067213962,0.095958504,0.112455875,0.12927743,0.094769829,0.092752684,0.474785678,0.674910854,0.037669377,0.530823835,0.177127886,0.176187384,0.037664868,0.078196027,43474,0.527096655,0.424299581,0.102797074,0.294129825,0.023807333,0.035998528,0.032594194,0.086373465
Tenderloin,29726,1544,13185,0.246546119,18082,0.220384913,0.779615087,0.679183719,0.086771375,0.335416436,0.193230837,1.55856653,0.329711364,0.085177959,0.385285609,0.021159927,0.003195855,0.191414923,0.035827222,0.058030007,0.291091973,0.44240732,0.172643477,0.207045119,0.18263055,0.221207165,0.389117166,0.427168136,0.213247662,0.484909808,0.146680158,0.068385611,0.00959492,0.000907156,0.005408046,0.000418687,0.025539932,40237.57317,0.24779675,0.414721823,0.178243557,0.122552815,0.064926446,0.061221104,0.158334255,0.607673085,0.055563722,0.424821797,0.286256745,0.180467657,0.039171274,0.069282526,14746,0.122067001,0.112437271,0.00962973,0.374542249,0.038315475,0.365455039,0.038451105,0.061169131
Treasure Island,3184,1084,1426,0.174623116,646,0.585139319,0.414860681,0.116099071,0.309597523,0.26006192,0.015479876,3.250773994,0.075690955,0.220477387,0.467022613,0.00879397,0.030150754,0.245917085,0.023241206,0.123429648,0.512248744,0.323806533,0.017273869,0.132875143,0.1139748,0.351660939,0.401489118,0.307788945,0.079773869,0.589067524,0.180385852,0.078456592,0.018649518,0,0.001286174,0,0.066881029,21553.80025,0.459872611,0.182662539,0.252321981,0.074303406,0.122291022,0.037151703,0.33126935,0.690584529,0.116905845,0.142769982,0.322757779,0.29652227,0.035387431,0.202562538,1600,0.394375,0.340625,0.05375,0.436875,0.02125,0.099375,0.0025,0.045625
Twin Peaks,8068,993,3258,0.124770901,3474,0.425158319,0.574841681,0.406447899,0.109959701,0.387737478,0.170408751,2.036557283,0.203396133,0.065939514,0.582300446,0,0,0.151958354,0.018096182,0.064080317,0.251611304,0.428482895,0.237729301,0.072544009,0.092277115,0.187677456,0.64750142,0.22483887,0.143282102,0.747790962,0.097323908,0.040015148,0.022595304,0.00340823,0.006311537,0.000378692,0.007447614,73266.31135,0.077922078,0.095279217,0.09671848,0.084916523,0.115716753,0.07253886,0.534830167,0.60842413,0.01767207,0.776878093,0.071075124,0.12505623,0.009446694,0.01754386,4390,0.53143508,0.461047836,0.070387244,0.212072893,0.016400911,0.027562642,0.065603645,0.146924829
Visitacion Valley,19875,89,9830,0.09912139,5280,0.771780303,0.228219697,0.154734848,0.380871212,0.484090909,0.057007576,3.747348485,0.521459119,0.090918239,0.149685535,0.003622642,0.021937107,0.248050314,0.049358491,0.141735849,0.227622642,0.436075472,0.145207547,0.238889276,0.276983186,0.257099002,0.227028536,0.511345912,0.370163522,0.300148195,0.169736424,0.086323701,0.00201122,5.29E-05,0.001323171,0,0.034455383,28109.99748,0.132798212,0.224431818,0.097916667,0.18219697,0.119318182,0.059659091,0.316477273,0.6599151,0.044087326,0.230002959,0.298550153,0.217181182,0.08570865,0.168557057,9812,0.601916021,0.466775377,0.135140644,0.311251529,0.000713412,0.013758663,0.018039136,0.054321239
West of Twin Peaks,38485,221,19659,0.092637877,14210,0.72765658,0.27234342,0.192470091,0.276073188,0.529275158,0.12294159,2.692751583,0.352500974,0.02322983,0.506586982,0.001662986,0.001870859,0.08603352,0.047135247,0.124048331,0.187943355,0.407457451,0.233415616,0.061886742,0.069857004,0.184287197,0.683969057,0.290450825,0.218007016,0.644351122,0.054429931,0.010635107,0.004008617,0,0.012298547,0.000245426,0.019088653,80726.54541,0.027520308,0.054187192,0.070372977,0.074524982,0.127515834,0.073680507,0.599718508,0.652196685,0.019748598,0.658856196,0.096063913,0.18145947,0.024064692,0.039555729,19953,0.522527941,0.434019947,0.088507994,0.246479226,0.011677442,0.034380795,0.016188042,0.168746554
Western Addition,22299,273,11027,0.164080123,11719,0.327161021,0.672838979,0.489034901,0.104616435,0.386381091,0.213670108,1.879511904,0.285124893,0.166823624,0.418090497,0.00336338,0.000582986,0.08915198,0.030270416,0.063635141,0.36068882,0.333423023,0.2119826,0.062554019,0.124027658,0.182800346,0.630617978,0.382797435,0.21153415,0.591888642,0.057991121,0.015584536,0.013873474,0.003237144,0.005641879,0,0.05826859,63733.51271,0.168784356,0.27860739,0.110333646,0.085331513,0.083027562,0.090110078,0.352589811,0.654434552,0.020660141,0.655172414,0.106639682,0.173425702,0.019226279,0.045535923,12672,0.253787879,0.204150884,0.049636995,0.403251263,0.05011048,0.13738952,0.057133838,0.09832702